player,source,stage,group_name,home_team,away_team,kickoff_utc,predicted_score,pick,actual_score,result,pick_correct,exact_score,points,running_points,total_match_points,champion_bonus,overall_points,matches_scored,correct_picks,exact_scores
Market,crowd,group,L,England,Ghana,2026-06-23T20:00:00+00:00,2-0,home,0-0,draw,0,0,0,28,61,10,71,81,45,8
Model,pele,group,L,England,Ghana,2026-06-23T20:00:00+00:00,2-0,home,0-0,draw,0,0,0,24,65,8,73,81,43,11
Me,harry,group,L,England,Ghana,2026-06-23T20:00:00+00:00,3-0,home,0-0,draw,0,0,0,22,68,5,73,81,46,11
Market,crowd,group,L,Panama,Croatia,2026-06-23T23:00:00+00:00,0-2,away,0-1,away,1,0,1,29,61,10,71,81,45,8
Model,pele,group,L,Panama,Croatia,2026-06-23T23:00:00+00:00,0-1,away,0-1,away,1,1,3,27,65,8,73,81,43,11
Me,harry,group,L,Panama,Croatia,2026-06-23T23:00:00+00:00,0-2,away,0-1,away,1,0,1,23,68,5,73,81,46,11
Market,crowd,group,K,Colombia,Congo DR,2026-06-24T02:00:00+00:00,1-0,home,1-0,home,1,1,3,32,61,10,71,81,45,8
Model,pele,group,K,Colombia,Congo DR,2026-06-24T02:00:00+00:00,1-0,home,1-0,home,1,1,3,30,65,8,73,81,43,11
Me,harry,group,K,Colombia,Congo DR,2026-06-24T02:00:00+00:00,1-1,draw,1-0,home,0,0,0,23,68,5,73,81,46,11
Market,crowd,group,B,Bosnia-Herzegovina,Qatar,2026-06-24T19:00:00+00:00,2-0,home,3-1,home,1,0,1,33,61,10,71,81,45,8
Market,crowd,group,B,Switzerland,Canada,2026-06-24T19:00:00+00:00,1-0,home,2-1,home,1,0,1,34,61,10,71,81,45,8
Model,pele,group,B,Bosnia-Herzegovina,Qatar,2026-06-24T19:00:00+00:00,1-0,home,3-1,home,1,0,1,31,65,8,73,81,43,11
Model,pele,group,B,Switzerland,Canada,2026-06-24T19:00:00+00:00,0-0,draw,2-1,home,0,0,0,31,65,8,73,81,43,11
Me,harry,group,B,Bosnia-Herzegovina,Qatar,2026-06-24T19:00:00+00:00,2-0,home,3-1,home,1,0,1,24,68,5,73,81,46,11
Me,harry,group,B,Switzerland,Canada,2026-06-24T19:00:00+00:00,1-1,draw,2-1,home,0,0,0,24,68,5,73,81,46,11
Market,crowd,group,C,Morocco,Haiti,2026-06-24T22:00:00+00:00,2-0,home,4-2,home,1,0,1,35,61,10,71,81,45,8
Market,crowd,group,C,Scotland,Brazil,2026-06-24T22:00:00+00:00,0-2,away,0-3,away,1,0,1,36,61,10,71,81,45,8
Model,pele,group,C,Morocco,Haiti,2026-06-24T22:00:00+00:00,1-0,home,4-2,home,1,0,1,32,65,8,73,81,43,11
Model,pele,group,C,Scotland,Brazil,2026-06-24T22:00:00+00:00,0-1,away,0-3,away,1,0,1,33,65,8,73,81,43,11
Me,harry,group,C,Morocco,Haiti,2026-06-24T22:00:00+00:00,2-0,home,4-2,home,1,0,1,25,68,5,73,81,46,11
Me,harry,group,C,Scotland,Brazil,2026-06-24T22:00:00+00:00,0-3,away,0-3,away,1,1,3,28,68,5,73,81,46,11
Market,crowd,group,E,Ecuador,Germany,2026-06-25T20:00:00+00:00,1-2,away,2-1,home,0,0,0,36,61,10,71,81,45,8
Market,crowd,group,E,Curaçao,Ivory Coast,2026-06-25T20:00:00+00:00,0-2,away,0-2,away,1,1,3,39,61,10,71,81,45,8
Model,pele,group,E,Ecuador,Germany,2026-06-25T20:00:00+00:00,0-1,away,2-1,home,0,0,0,33,65,8,73,81,43,11
Model,pele,group,E,Curaçao,Ivory Coast,2026-06-25T20:00:00+00:00,0-1,away,0-2,away,1,0,1,34,65,8,73,81,43,11
